,id,date,title,tags,duration,views,likes,comments
0,L44inAV0X_A,2023-07-12T15:06:33Z,Premier League goalkeepers with the MOST SAVES in 2022/23,"['most saves', 'saves', 'save', 'best saves', 'goalkeeper', 'goalkeepers', 'GK', 'football', 'soccer', 'goalkeeper saves', 'best goalkeeper saves', 'best goalkeepers', 'Premier League goalkeepers', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'goals', 'highlights', 'Lukasz Fabianski', 'West Ham', 'Bernd Leno', 'Fulham', 'David Raya', 'Brentford', 'Jordan Pickford', 'Everton', 'Alisson Becker', 'Liverpool', 'David de Gea', 'de Gea', 'Manchester United', 'Man United', '2022/23', '22/23', 'Alisson', 'Becker']",PT8M43S,37259,1670,135
1,abona-GsR94,2023-07-12T10:03:30Z,Ten Hag Ball! Started by De Gea & finished by Shaw,"['Ten Hag Ball', 'Erik ten Hag Ball', 'Erik ten Hag', 'Ten Hag', 'David de Gea', 'de Gea', 'Luke Shaw', 'Manchester United', 'Man United', 'Man Utd', 'Manchester United goals', 'Man United goals', 'Manchester United highlights', 'Man United highlights', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT20S,1860938,85403,321
2,ZrtCPrP7DDI,2023-07-11T15:10:08Z,1 AMAZING Premier League goal scored by EVERY 2022/23 team,"['1 amazing premier league goal', '1 amazing goal', 'goal', 'goals', 'premier league', 'epl', 'pl', 'premier league goals', 'epl goals', 'premier league highlights', 'epl highlights', 'highlights', 'best goals', 'football', 'soccer', 'football goals', 'soccer goals', 'amazing goal', 'amazing goals', 'Marcus Rashford', 'Manchester United', 'Bukayo Saka', 'Arsenal', 'Erling Haaland', 'Man City', 'Miguel Almiron', 'Newcastle', 'Declan Rice', 'West Ham', 'Harry Kane', 'Tottenham', 'Manchester City', 'Man United', 'Rashford', 'Saka', 'Haaland', 'Almiron', 'Rice', 'Kane']",PT8M57S,171598,4395,172
3,kjcYVg4VU8Q,2023-07-11T11:34:40Z,Brilliant Vinícius pass & Solomon finish!,"['Manor Solomon', 'Solomon', 'Carlos Vinícius', 'Vinícius', 'Vinicius', 'Fulham', 'Brighton', 'Manor Solomon goals', 'Solomon goals', 'Manor Solomon highlights', 'Solomon highlights', 'Fulham goals', 'Fulham highlights', 'Brighton highlights', 'pass', 'finish', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Prem', 'PL']",PT15S,1335094,42854,147
4,tAu_EL7iCd0,2023-07-11T09:04:08Z,Perfect Kevin De Bruyne pass with a header!,"['Kevin De Bruyne', 'De Bruyne', 'Man City', 'Manchester City', 'Kevin De Bruyne header', 'De Bruyne header', 'header', 'Aguero', 'Kevin De Bruyne passes', 'De Bruyne passes', 'Manchester City highlights', 'Kevin De Bruyne Man City', 'De Bruyne Man City', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'pass']",PT11S,251215,6482,62
5,rGI71M-QIUk,2023-07-10T15:04:27Z,Premier League managers react to LEGENDARY GOALS from 2022/23,"['goals', 'managers react', 'react', 'reacts', 'reaction', 'best goal', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'Mikel Arteta', 'Arsenal', 'Pep Guardiola', 'Man City', 'Jurgen Klopp', 'Liverpool', 'Roberto De Zerbi', 'Brighton', 'Erik ten Hag', 'Manchester United', 'Manchester City', 'Man United', 'Arteta', 'Guardiola', 'Klopp', 'ten Hag', 'football', 'soccer', 'football managers', 'soccer managers', 'Manchester United goals', 'Man City goals', 'Liverpool goals', 'Arsenal goals', 'legendary']",PT8M42S,83992,2399,140
6,ocV6nnB-8q8,2023-07-10T10:17:02Z,5 great David de Gea saves in 1 Man Utd match,"['David de Gea', 'de Gea', 'David de Gea saves', 'de Gea saves', 'Dave saves', 'Manchester United', 'Man United', 'Man Utd', 'goalkeeper', 'goalkeeper saves', 'saves', 'GK', 'Manchester United goalkeeper', 'Man United goalkeeper', 'save', 'best saves', 'Spurs', 'Tottenham', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT31S,1424598,60803,477
7,nFMbIXrfSWg,2023-07-09T08:01:00Z,Wonderful move & a perfect Palhinha goal!,"['perfect', 'Joao Palhinha', 'Palhinha', 'Fulham', 'Nottingham Forest', 'Joao Palhinha goal', 'Palhinha goal', 'Fulham goal', 'Fulham goals', 'Fulham highlights', 'long goal', 'long shot', 'long range', 'long range goal', 'long shot goal', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short', 'Palhinha Fulham', 'PL']",PT17S,1165474,33126,62
8,oGQI96huGsM,2023-07-08T08:01:00Z,Harry Kane + Son Heung-min = Goal #shorts,"['Harry Kane', 'Son Heung-min', 'Kane', 'Son', 'Heung-min', 'Spurs', 'Tottenham', 'Manchester United', 'Man United', 'Spurs goals', 'Tottenham goals', 'Spurs highlights', 'Tottenham highlights', 'Son Heung-min goal', 'Son Heung-min goals', 'Harry Kane Son Heung-min', 'goal', 'highlight', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT11S,935467,25977,155
9,o51e5qFXVsA,2023-07-07T15:01:20Z,EVERY FREE KICK GOAL from the 2022/23 Premier League season,"['free kick', 'free kicks', 'free kick goals', 'best free kicks', 'freekicks', 'free-kick', '2022/23', '22/23', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'goals', 'highlights', 'football', 'soccer', 'football free kicks', 'best free-kicks', 'best freekicks', 'Harry Kane', 'Tottenham', 'Mason Mount', 'Chelsea', 'Trent Alexander-Arnold', 'Liverpool', 'Kieran Trippier', 'Newcastle', 'Kevin De Bruyne', 'Man City', 'James Ward-Prowse', 'James Maddison', 'TAA', 'Kane', 'Mount', 'De Bruyne', 'Maddison', 'FK']",PT6M46S,265544,5522,230
10,OTQGyILxe-o,2023-07-07T14:09:52Z,Zinchenko reacts to STUNNING Saliba goal,"['Oleksandr Zinchenko', 'Zinchenko', 'William Saliba', 'Saliba', 'Arsenal', 'Arsenal goal', 'Arsenal goals', 'Arsenal highlights', 'William Saliba Arsenal', 'Saliba Arsenal', 'William Saliba goal', 'Saliba goal', 'reacts', 'react', 'reaction', 'Zinchenko reaction', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT27S,350824,14750,119
11,IDExdB1nIOg,2023-07-06T15:01:23Z,The art of defending! INCREDIBLE goal line clearances & defending heroics,"['the art of defending', 'art of defending', 'art of', 'the art of', 'art', 'defending', 'goal line clearances', 'goalline clearances', 'clearances', 'body on the line', 'football', 'soccer', 'Premier League', 'epl', 'goals', 'highlights', 'Premier League goals', 'epl goals', 'epl highlights', 'Premier League highlights', '2023/23', '22/23', 'Thiago Silva', 'Chelsea', 'Ibrahima Konate', 'Liverpool', 'Kieran Trippier', 'Newcastle', 'Brentford', 'Aston Villa', 'Ivan Perisic', 'Tottenham', 'Spurs', 'Thiago', 'Silva', 'defence', 'incredible', 'heroics', 'defending heroics', 'Prem']",PT8M1S,85527,1584,72
12,4OpWzCS4gcQ,2023-07-05T15:06:20Z,"BEST Premier League goals of 2022/23 ft. Martin Odegaard, Julio Enciso & more! | Part 2","['best Premier League goals', 'best epl goals', '2022/23', 'best goals', 'best goals 2022/23', 'best Premier League goals 2022/23', 'football', 'soccer', 'best football goals 2022/23', 'best soccer goals 2022/23', 'Premier League goals', 'epl goals', 'Premier League goals highlights', 'epl highlights', 'goals', 'highlights', 'Man City', 'Manchester City', 'Arsenal', 'Manchester United', 'Declan Rice', 'Martin Odegaard', 'Julio Enciso', 'Marcus Rashford', 'Erling Haaland', 'Mohamed Salah', 'Liverpool', 'Man United', 'Mo Salah', 'Haaland', 'PL']",PT33M42S,590153,7934,249
13,VlAa9P_QPZg,2023-07-05T10:01:40Z,Mason Mount flick. Reece James hits the post!,"['Mason Mount', 'Mount', 'Manchester United', 'Man United', 'Man Utd', 'Mason Mount Manchester United', 'Mount Manchester United', 'Mason Mount Man United', 'Mount Man United', 'Chelsea', 'Reece James', 'Mason Mount Chelsea', 'Mount Chelsea', 'skills', 'post', 'goals', 'highlights', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT18S,685981,23510,140
14,0YjfGaauH8c,2023-07-04T21:28:10Z,Firmino with a delightful chip vs Man City,"['Roberto Firmino', 'Bobby Firmino', 'Firmino', 'Liverpool', 'Roberto Firmino Liverpool', 'Bobby Firmino Liverpool', 'Firmino Liverpool', 'Liverpool goal', 'Liverpool goals', 'Liverpool highlights', 'Roberto Firmino goal', 'Firmino goal', 'Man City', 'Manchester City', 'goal', 'football', 'soccer', 'Premier League', 'epl', 'Premier League goals', 'epl goals', 'Premier League highlights', 'epl highlights', 'short', 'shorts', '#shorts', 'TikTok', 'football TikTok', 'soccer TikTok', 'football shorts', 'soccer shorts', 'football short', 'soccer short']",PT21S,393469,17527,105
15,WyPFlH_M_Qs,2023-07-04T15:01:21Z,5 Minutes Of Ruud van Nistelrooy Being UNBELIEVABLE! | Manchester United | Premier League,"['Ruud van Nistelrooy', 'van Nistelrooy', 'Ruud van Nistelrooij', 'van Nistelrooij', 'Manchester United', 'Man United', 'Premier League', 'epl', 'Premier League goals', 'Premier League highlights', 'epl goals', 'epl highlights', 'goals', 'highlights', 'Ruud van Nistelrooy goals', 'van Nistelrooy goals', 'Ruud van Nistelrooy Manchester United', 'van Nistelrooy Manchester United', 'van Nistelrooy Man United', 'Manchester United goals', 'Manchester United highlights', 'Man United goals', 'Man United highlights', 'football', 'soccer']",PT5M,355264,4530,472
